"_hoodie_commit_time","_hoodie_commit_seqno","_hoodie_record_key","_hoodie_partition_path","_hoodie_file_name","center_id","patient_id","provider_id","first_name","middle_name","last_name","race","ethnicity","language","email","address1","address2","city","county","state","zip","phone","birth_date","death_date","patient_status","create_timestamp","delete_ind","sex","modify_timestamp","mrn","loaded_from_file","guarantor_self_ind","guarantor_id","homelessness_status","migrant_status","veteran_status","ssn","income","family_size","alias","guarantor_relationship","phone2","advance_directive_ind","billing_account_id","usual_location","opt_in_ind","mail_address1","mail_address2","mail_city","mail_state","mail_zip","medicaid_id","occupation","race_scrubbed","language_scrubbed","ethnicity_scrubbed","patient_status_scrubbed","test_patient_ind","scrubbed","outreach_opt_out","id","patient","exportcategory","deleted_reason","quality_fail_reason","row_hash","extract_timeseries_bucket","availability","_arcadia_source","year_bucket","deleted","lowquality","transitioned"
"20250227170954232","20250227170954232_1_0","availability:beta,center_id:2000,patient_id:333070541660","availability=beta/_arcadia_source=gdclin2000/year_bucket=1970/deleted=true/lowquality=false/transitioned=false","016e6a2a-cdae-4249-a177-d6e04276b62d-0_1-2216-342646_20250227170954232.parquet","2000","333070541660",,"VIVIANA",,"ENDRESS",,,,,"158-20 80 STREET",,"Howard Beach","Queens","NY","11414",,"2000-07-08 00:00:00.000",,"ACTIVE","2024-11-18 18:27:51.000","1","F","2025-02-27 16:11:40.000","5017","2024_11_18_000000_clinical2000_patient_00000.csv.gz_2024_11_18_000000_clinical2000_patient_00000.csv.gz.1732054238866","1","6",,,,,,,,,,"0",,,,"158-20 80 STREET",,"Howard Beach","NY","11414",,,,,,"ACTIVE","1","1",,"urn:doid:arcadia.io:patient!arcgd.2000.333070541660","urn:doid:arcadia.io:patient!arcgd.2000.333070541660","511","delete_ind was set",,"-424004999","1970-01","beta","gdclin2000","1970","true","false","false"
"20250624020049692","20250624020049692_1_0","availability:beta,center_id:2002,patient_id:405550642401","availability=beta/_arcadia_source=gdclin2002/year_bucket=1970/deleted=true/lowquality=false/transitioned=false","140720cc-7a7f-4e41-bbb6-e9dc984baaf3-0_1-1795-285204_20250624020049692.parquet","2002","405550642401","550132646134","ROBERT",,"DEBAR",,,,,"74 TRENTON STREET",,"BOSTON","Suffolk","MA","02128","(978) 555-2456","1989-02-05 00:00:00.000",,"ACTIVE","2024-11-18 18:34:32.000","1","M","2025-06-23 23:38:29.000","71991","2024_11_18_000000_clinical2002_patient_00033.csv.gz_2024_11_18_000000_clinical2002_patient_00033.csv.gz.1732054226252","1","71991",,,,"348-63-7377",,,,,,"0",,,,"74 TRENTON STREET",,"BOSTON","MA","02128",,,,,,"ACTIVE","1","1",,"urn:doid:arcadia.io:patient!arcgd.2002.405550642401","urn:doid:arcadia.io:patient!arcgd.2002.405550642401","511","delete_ind was set",,"2113850702","1970-01","beta","gdclin2002","1970","true","false","false"
"20250227170954232","20250227170954232_1_1","availability:beta,center_id:2000,patient_id:719692775966","availability=beta/_arcadia_source=gdclin2000/year_bucket=1970/deleted=true/lowquality=false/transitioned=false","016e6a2a-cdae-4249-a177-d6e04276b62d-0_1-2216-342646_20250227170954232.parquet","2000","719692775966","116173228439","DELIA",,"DEBAR","<NOMAP>","DOES NOT KNOW","AFRIKAANS","DELIA.DEBAR@arcadia.example.com","64 WALTUMA AVENUE",,"Edison","Middlesex","NJ","08837","(609) 555-1401","1988-04-22 00:00:00.000",,"ACTIVE","2024-11-18 18:27:51.000","1","F","2025-02-27 16:11:40.000","5649","2024_11_18_000000_clinical2000_patient_00005.csv.gz_2024_11_18_000000_clinical2000_patient_00005.csv.gz.1732054239080","1","5649",,,,,,,,,,"0",,,,"64 WALTUMA AVENUE",,"Edison","NJ","08837",,,"<NOMAP>","AFRIKAANS","DOES NOT KNOW","ACTIVE","1","1",,"urn:doid:arcadia.io:patient!arcgd.2000.719692775966","urn:doid:arcadia.io:patient!arcgd.2000.719692775966","511","delete_ind was set",,"505174467","1970-01","beta","gdclin2000","1970","true","false","false"
"20250227170954232","20250227170954232_1_2","availability:beta,center_id:2000,patient_id:648361051640","availability=beta/_arcadia_source=gdclin2000/year_bucket=1970/deleted=true/lowquality=false/transitioned=false","016e6a2a-cdae-4249-a177-d6e04276b62d-0_1-2216-342646_20250227170954232.parquet","2000","648361051640","065495511777","EILEEN",,"SKEETER","WHITE","NOT HISPANIC OR LATINO","ENGLISH","EILEEN.SKEETER@arcadia.example.com","10 INDUSTRIAL WAY",,"Eatontown","Monmouth","NJ","07724","(856) 555-2134","1969-01-14 00:00:00.000",,"ACTIVE","2024-11-18 18:27:51.000","1","F","2025-02-27 16:11:40.000","70610","2024_11_18_000000_clinical2000_patient_00005.csv.gz_2024_11_18_000000_clinical2000_patient_00005.csv.gz.1732054239080","1","70288",,,,"056-33-5274",,,,,,"0",,,,"10 INDUSTRIAL WAY",,"Eatontown","NJ","07724",,,"WHITE","ENGLISH","NOT HISPANIC OR LATINO","ACTIVE","0","1",,"urn:doid:arcadia.io:patient!arcgd.2000.648361051640","urn:doid:arcadia.io:patient!arcgd.2000.648361051640","511","delete_ind was set",,"1875576440","1970-01","beta","gdclin2000","1970","true","false","false"
"20250227170954232","20250227170954232_1_7","availability:beta,center_id:2000,patient_id:126161653707","availability=beta/_arcadia_source=gdclin2000/year_bucket=1970/deleted=true/lowquality=false/transitioned=false","016e6a2a-cdae-4249-a177-d6e04276b62d-0_1-2216-342646_20250227170954232.parquet","2000","126161653707",,"JEFFERSON",,"NUNYA",,,,,"11 PROSPECT STREET",,"GRAFTON","Worcester","MA","01536","(508) 555-6379","1976-04-16 00:00:00.000",,"ACTIVE","2024-11-18 18:27:51.000","1","M","2025-02-27 16:11:40.000","73185","2024_11_18_000000_clinical2000_patient_00000.csv.gz_2024_11_18_000000_clinical2000_patient_00000.csv.gz.1732054238866","1","6",,,,,,,,,,"0",,,,"11 PROSPECT STREET",,"GRAFTON","MA","01536",,,,,,"ACTIVE","0","1",,"urn:doid:arcadia.io:patient!arcgd.2000.126161653707","urn:doid:arcadia.io:patient!arcgd.2000.126161653707","511","delete_ind was set",,"712405761","1970-01","beta","gdclin2000","1970","true","false","false"
"20250227170954232","20250227170954232_1_8","availability:beta,center_id:2000,patient_id:832139608625","availability=beta/_arcadia_source=gdclin2000/year_bucket=1970/deleted=true/lowquality=false/transitioned=false","016e6a2a-cdae-4249-a177-d6e04276b62d-0_1-2216-342646_20250227170954232.parquet","2000","832139608625","116173228439","DELILAH",,"ENDRESS",,,"SPANISH","DELILAH.ENDRESS@arcadia.example.com","135 SENATOR STREET",,"Brooklyn","Kings","NY","11220","(631) 555-4491","1963-11-13 00:00:00.000",,"ACTIVE","2024-11-18 18:27:51.000","1","F","2025-02-27 16:11:40.000","5016","2024_11_18_000000_clinical2000_patient_00007.csv.gz_2024_11_18_000000_clinical2000_patient_00007.csv.gz.1732054238908","1","5016",,,,,,,,,,"0",,,,"135 SENATOR STREET",,"Brooklyn","NY","11220",,,,"SPANISH",,"ACTIVE","1","1",,"urn:doid:arcadia.io:patient!arcgd.2000.832139608625","urn:doid:arcadia.io:patient!arcgd.2000.832139608625","511","delete_ind was set",,"1375786028","1970-01","beta","gdclin2000","1970","true","false","false"
"20250227170954232","20250227170954232_1_9","availability:beta,center_id:2000,patient_id:754174690855","availability=beta/_arcadia_source=gdclin2000/year_bucket=1970/deleted=true/lowquality=false/transitioned=false","016e6a2a-cdae-4249-a177-d6e04276b62d-0_1-2216-342646_20250227170954232.parquet","2000","754174690855",,"MOSES","WINTER","DEBAR","BLACK OR AFRICAN AMERICAN","DOES NOT KNOW","ENGLISH",,"216 MONROE AVENUE",,"River Edge","Bergen","NJ","07661","(551) 555-9283","1994-11-13 00:00:00.000",,"ACTIVE","2024-11-18 18:27:51.000","1","M","2025-02-27 16:11:40.000","71493","2024_11_18_000000_clinical2000_patient_00005.csv.gz_2024_11_18_000000_clinical2000_patient_00005.csv.gz.1732054239080","1","71493",,,,,,,,,"(551) 555-9283","0",,,,"216 MONROE AVENUE",,"River Edge","NJ","07661",,,"BLACK OR AFRICAN AMERICAN","ENGLISH","DOES NOT KNOW","ACTIVE","1","1",,"urn:doid:arcadia.io:patient!arcgd.2000.754174690855","urn:doid:arcadia.io:patient!arcgd.2000.754174690855","511","delete_ind was set",,"324069808","1970-01","beta","gdclin2000","1970","true","false","false"
"20250227170954232","20250227170954232_1_10","availability:beta,center_id:2000,patient_id:232153280229","availability=beta/_arcadia_source=gdclin2000/year_bucket=1970/deleted=true/lowquality=false/transitioned=false","016e6a2a-cdae-4249-a177-d6e04276b62d-0_1-2216-342646_20250227170954232.parquet","2000","232153280229","116173228439","IMA",,"TERPAK","WHITE","NOT HISPANIC OR LATINO","ENGLISH",,"25 MAIN STREET",,"Castleton On Hudson","Rensselaer","NY","12033","(646) 555-3445","1942-09-22 00:00:00.000",,"ACTIVE","2024-11-18 18:27:51.000","1","F","2025-02-27 16:11:40.000","71217","2024_11_18_000000_clinical2000_patient_00005.csv.gz_2024_11_18_000000_clinical2000_patient_00005.csv.gz.1732054239080","1","71217",,,,,,,,,,"0",,,,"25 MAIN STREET",,"Castleton On Hudson","NY","12033",,,"WHITE","ENGLISH","NOT HISPANIC OR LATINO","ACTIVE","0","1",,"urn:doid:arcadia.io:patient!arcgd.2000.232153280229","urn:doid:arcadia.io:patient!arcgd.2000.232153280229","511","delete_ind was set",,"783758892","1970-01","beta","gdclin2000","1970","true","false","false"
"20250227170954232","20250227170954232_1_11","availability:beta,center_id:2000,patient_id:652577571557","availability=beta/_arcadia_source=gdclin2000/year_bucket=1970/deleted=true/lowquality=false/transitioned=false","016e6a2a-cdae-4249-a177-d6e04276b62d-0_1-2216-342646_20250227170954232.parquet","2000","652577571557","116173228439","MADISON",,"VANWYK","REFUSED TO REPORT","DOES NOT KNOW","ENGLISH",,"180 WOOSTER STREET",,"Hartford","Hartford","CT","06120","(475) 555-5755","1975-06-18 00:00:00.000",,"ACTIVE","2024-11-18 18:27:51.000","1","M","2025-02-27 16:11:40.000","72479","2024_11_18_000000_clinical2000_patient_00005.csv.gz_2024_11_18_000000_clinical2000_patient_00005.csv.gz.1732054239080","1","72479",,,,,,,,,,"0",,,,"180 WOOSTER STREET",,"Hartford","CT","06120",,,"REFUSED TO REPORT","ENGLISH","DOES NOT KNOW","ACTIVE","0","1",,"urn:doid:arcadia.io:patient!arcgd.2000.652577571557","urn:doid:arcadia.io:patient!arcgd.2000.652577571557","511","delete_ind was set",,"-1952291583","1970-01","beta","gdclin2000","1970","true","false","false"
"20250227170954232","20250227170954232_1_12","availability:beta,center_id:2000,patient_id:033015952157","availability=beta/_arcadia_source=gdclin2000/year_bucket=1970/deleted=true/lowquality=false/transitioned=false","016e6a2a-cdae-4249-a177-d6e04276b62d-0_1-2216-342646_20250227170954232.parquet","2000","033015952157",,"ROSA",,"ENDRESS",,,,,"194 BELLIS ROAD",,"Milford","Hunterdon","NJ","08848",,"1973-07-04 00:00:00.000",,"ACTIVE","2024-11-18 18:27:51.000","1","F","2025-02-27 16:11:40.000","5005","2024_11_18_000000_clinical2000_patient_00005.csv.gz_2024_11_18_000000_clinical2000_patient_00005.csv.gz.1732054239080","1","6",,,,,,,,,,"0",,,,"194 BELLIS ROAD",,"Milford","NJ","08848",,,,,,"ACTIVE","1","1",,"urn:doid:arcadia.io:patient!arcgd.2000.033015952157","urn:doid:arcadia.io:patient!arcgd.2000.033015952157","511","delete_ind was set",,"829258883","1970-01","beta","gdclin2000","1970","true","false","false"
