"npi","pathsegment","name","assignmenttype","path","providerpersonid","level","pcpind","claimsrecord","inserttimestamp","grouper1value","grouper2value","grouper3value","grouper1name","grouper2name","grouper3name","activeind","outreachenabledind","outreachpracticename","outreachpracticephone","updatetimestamp"
"1609896026","0003129419E8A31ACF7A2EE58BC05B75","SESOCK, CARROLL RONNI","Supplied","/05724AADFD5A7F4673CCA89A4946BDBB/F7F1DCAB1E97D7297C330E160603AC7D/9F267D695CCE65FC1D58F92A7E766B68/0003129419E8A31ACF7A2EE58BC05B75",,"3","1","1","2025-12-05 22:28:49.719","05724AADFD5A7F4673CCA89A4946BDBB","F7F1DCAB1E97D7297C330E160603AC7D","9F267D695CCE65FC1D58F92A7E766B68","MIDWEST","WEST NORTH CENTRAL","SAGEBROOK HEALTH NETWORK","Y","false","West North Central","536-555-6979",
"1093712655","001C8CC3625CAA71A2BAF159AC854A42","FOREST HILLS MEDICAL PARTNERS, ","Inferred","/CAEB59EA9EA08A1FA25F7E12AA67F822/E2BAE6C8F6627AC5D9D4F07411164A08/54A181BEC0E0528CB98E19E0FC826402/001C8CC3625CAA71A2BAF159AC854A42","2608","3","0","0","2025-12-05 22:24:12.944","CAEB59EA9EA08A1FA25F7E12AA67F822","E2BAE6C8F6627AC5D9D4F07411164A08","54A181BEC0E0528CB98E19E0FC826402","OTHER","OTHER","OTHER","N","false",,,
"1992413124","0024F3604603AD0DD85EF7761350A286","ESCHENBERG, SHAWN","Supplied","/198255D31AC24F28855C23932FDB5FB4/AC190443F4D4D1324D765957D69F0A28/39AAE359C8A99EAA5E89B4C5555607DD/0024F3604603AD0DD85EF7761350A286",,"3","1","1","2025-12-05 22:28:49.719","198255D31AC24F28855C23932FDB5FB4","AC190443F4D4D1324D765957D69F0A28","39AAE359C8A99EAA5E89B4C5555607DD","NORTHEAST","MID ATLANTIC","SUMMIT RIDGE HEALTHCARE","Y","false","Mid Atlantic","536-555-6979",
"1407306392","0025FE0B0E630DAA35A6A48CA2936D8C","JEYS, QUINN","Inferred","/CAEB59EA9EA08A1FA25F7E12AA67F822/E2BAE6C8F6627AC5D9D4F07411164A08/54A181BEC0E0528CB98E19E0FC826402/0025FE0B0E630DAA35A6A48CA2936D8C","105663","3","0","0","2025-12-05 22:24:12.944","CAEB59EA9EA08A1FA25F7E12AA67F822","E2BAE6C8F6627AC5D9D4F07411164A08","54A181BEC0E0528CB98E19E0FC826402","OTHER","OTHER","OTHER","N","false",,,
"1770504136","002B8B5674DE4BE44A334997E79FAE4C","BARBALACE, CHARLY","Supplied","/2F9A1A5CCB8EEC79D4995321B037D46A/6D3CCE53C0CEC8B10EA8D6B3F9C14F2E/78C6D2C85D086D8CB46805B844771041/002B8B5674DE4BE44A334997E79FAE4C","85470","3","0","1","2025-12-05 22:28:49.719","2F9A1A5CCB8EEC79D4995321B037D46A","6D3CCE53C0CEC8B10EA8D6B3F9C14F2E","78C6D2C85D086D8CB46805B844771041","SOUTH","EAST SOUTH CENTRAL","LIBERTY HEALTH ALLIANCE","Y","false","East South Central","536-555-6979",
"1972846285","002BBE765E6D0790631F76AE82776F69","MEFFERD, DEENA","Inferred","/CAEB59EA9EA08A1FA25F7E12AA67F822/E2BAE6C8F6627AC5D9D4F07411164A08/54A181BEC0E0528CB98E19E0FC826402/002BBE765E6D0790631F76AE82776F69","122971","3","0","0","2025-12-05 22:24:12.944","CAEB59EA9EA08A1FA25F7E12AA67F822","E2BAE6C8F6627AC5D9D4F07411164A08","54A181BEC0E0528CB98E19E0FC826402","OTHER","OTHER","OTHER","N","false",,,
"1821093824","0038CA1AADBDB825B8F19D21587F080A","CHUMA, CAREY","Supplied","/2F9A1A5CCB8EEC79D4995321B037D46A/6D3CCE53C0CEC8B10EA8D6B3F9C14F2E/FBB836D9B565C017F66C1464EA661E35/0038CA1AADBDB825B8F19D21587F080A","24757","3","0","1","2025-12-05 22:28:49.719","2F9A1A5CCB8EEC79D4995321B037D46A","6D3CCE53C0CEC8B10EA8D6B3F9C14F2E","FBB836D9B565C017F66C1464EA661E35","SOUTH","EAST SOUTH CENTRAL","SOLSTICE HEALTH GROUP","Y","false","East South Central","536-555-6979",
"1811928690","003CD70752853CE4CD116B6A7ECDCF57","GREEN VALLEY HEALTH, ","Inferred","/CAEB59EA9EA08A1FA25F7E12AA67F822/E2BAE6C8F6627AC5D9D4F07411164A08/54A181BEC0E0528CB98E19E0FC826402/003CD70752853CE4CD116B6A7ECDCF57","87145","3","0","0","2025-12-05 22:24:12.944","CAEB59EA9EA08A1FA25F7E12AA67F822","E2BAE6C8F6627AC5D9D4F07411164A08","54A181BEC0E0528CB98E19E0FC826402","OTHER","OTHER","OTHER","N","false",,,
"1982630711","003EB1B91E972F16B1F8E2B14B60F35E","CHABEZ, WENDELL","Inferred","/CAEB59EA9EA08A1FA25F7E12AA67F822/E2BAE6C8F6627AC5D9D4F07411164A08/54A181BEC0E0528CB98E19E0FC826402/003EB1B91E972F16B1F8E2B14B60F35E","61092","3","0","0","2025-12-05 22:24:12.944","CAEB59EA9EA08A1FA25F7E12AA67F822","E2BAE6C8F6627AC5D9D4F07411164A08","54A181BEC0E0528CB98E19E0FC826402","OTHER","OTHER","OTHER","N","false",,,
"1912400359","0040877748C5C16F2E51062D7654BA37","SABATER, ERICA","Inferred","/CAEB59EA9EA08A1FA25F7E12AA67F822/E2BAE6C8F6627AC5D9D4F07411164A08/54A181BEC0E0528CB98E19E0FC826402/0040877748C5C16F2E51062D7654BA37","121119","3","0","0","2025-12-05 22:24:12.944","CAEB59EA9EA08A1FA25F7E12AA67F822","E2BAE6C8F6627AC5D9D4F07411164A08","54A181BEC0E0528CB98E19E0FC826402","OTHER","OTHER","OTHER","N","false",,,
